date,BYR,USD,EUR,KZT,UAH
09-2019,31.4432,64.4711,71.5307,0.166693,2.6101099999999997
10-2019,31.3915,64.3652,70.9305,0.165185,2.61116
11-2019,31.2458,64.2101,70.6761,0.16530899999999998,2.64834
12-2019,29.7736,62.5544,69.8608,0.162637,2.6624600000000003
01-2020,28.9593,61.414,68.4213,0.16177499999999997,2.5566500000000003
02-2020,28.8452,63.4536,68.771,0.167833,2.59537
03-2020,31.3038,73.1882,81.861,0.18005400000000002,2.8045400000000003
04-2020,29.8818,73.315,80.1186,0.172131,2.69888
05-2020,30.1385,73.9298,79.9033,0.17475000000000002,2.77208
06-2020,29.1248,69.1219,78.5225,0.17269500000000002,2.5990200000000003
07-2020,29.383,71.1275,80.623,0.17213599999999998,2.62178
08-2020,29.7758,73.2157,86.4092,0.174414,2.67455
09-2020,28.8341,74.7148,88.5819,0.175062,2.6693000000000002
10-2020,30.0439,77.2759,90.7065,0.17998799999999998,2.72674
11-2020,30.1208,77.3262,91.3222,0.17974900000000002,2.7501100000000003
12-2020,28.8524,72.9272,88.5847,0.174209,2.6162199999999998
01-2021,28.7077,73.7961,89.6475,0.17568799999999998,2.63277
02-2021,28.6281,73.9378,89.6052,0.176362,2.65653
03-2021,28.3509,73.5081,87.7981,0.175378,2.65066
04-2021,28.9617,75.6826,90.5391,0.17573799999999998,2.70805
05-2021,29.3184,73.9968,89.6249,0.172626,2.67971
06-2021,28.8949,71.6797,87.3274,0.16778400000000002,2.65218
07-2021,28.9477,74.1236,87.3917,0.173512,2.71502
08-2021,29.3818,73.4721,86.2195,0.172774,2.75372
09-2021,29.1276,72.7171,85.988,0.170597,2.7314599999999998
10-2021,29.0744,71.7846,83.3347,0.168489,2.72089
11-2021,29.3493,71.8118,82.2173,0.166927,2.7519400000000003
12-2021,29.1964,73.4698,82.8299,0.167912,2.72012
01-2022,29.4985,75.7668,86.8894,0.173677,2.71332
02-2022,29.5821,76.5762,86.8451,0.17765,2.6810300000000002
03-2022,34.9971,115.1963,127.2343,0.22490300000000002,3.8175800000000004
04-2022,28.5161,81.288,88.0024,0.180572,2.76487
05-2022,25.0865,63.7799,65.7939,0.146701,2.1600200000000003
06-2022,22.3131,57.0926,59.2481,0.130892,1.94044
07-2022,22.5531,58.2568,58.3432,0.12241099999999999,1.97724
